row,url,skip_reason
10,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=45225&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
24,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=49880&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
25,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=57807&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
26,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=57808&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
27,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=57814&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
29,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=44596&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
31,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=44949&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
45,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=47161&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
101,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=48395&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
102,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=48768&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
131,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=52890&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
132,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=52948&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
133,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=52955&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
134,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=77277&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
135,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=77284&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
136,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=77329&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
